Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status
SN74AVC16827DGVR,Texas Instruments,296-9801-1-ND,IC Address Buffer,,Cut Tape (CT),Active,1,4.36000,$4.36,855,6 Weeks,IC BUF NON-INVERT 3.6V 56TVSOP,ROHS3 Compliant,Lead free,REACH Unaffected
SN74LVCR162245DGGR,Texas Instruments,296-8619-1-ND,IC Data Buffer,,Cut Tape (CT),Active,1,1.52000,$1.52,1734,6 Weeks,IC TXRX NON-INVERT 3.6V 48TSSOP,ROHS3 Compliant,Lead free,REACH Unaffected
MEM2075-00-140-01-A,GCT,2073-MEM2075-00-140-01-ACT-ND,PortaMicroSD,,Cut Tape (CT),Active,1,1.86000,$1.86,121,8 Weeks,"MICRO SD PUSH-PUSH, SMT, 1.40MM",ROHS3 Compliant,Lead free,Not Available
CY7C1051DV33-10ZSXI,Cypress Semiconductor Corp,428-3241-ND,SRAM 512Kb x 16,,Tray,Active,1,16.10000,$16.10,943,20 Weeks,IC SRAM 8MBIT PARALLEL 44TSOP II,ROHS3 Compliant,Lead free,REACH Unaffected
AP63205WU-7,Diodes Incorporated,AP63205WU-7DICT-ND,Regulador 5 V,,Cut Tape (CT),Active,1,0.87000,$0.87,770,24 Weeks,IC REG BUCK 5V 2A TSOT26,ROHS3 Compliant,Lead free,REACH Unaffected
SG7050CAN 24.000000M-TJGA3,EPSON,SER4399CT-ND,Cristal MVB 24 Mhz,,Cut Tape (CT),Not For New Designs,1,1.40000,$1.40,506,22 Weeks,XTAL OSC XO 24.0000MHZ CMOS SMD,ROHS3 Compliant,Lead free,Not Available
885012207098,Würth Elektronik,732-8080-1-ND,Capacitores .1uF,,Cut Tape (CT),Active,31,0.07400,$2.29,2724,34 Weeks,CAP CER 0.1UF 50V X7R 0805,ROHS3 Compliant,Lead free,REACH Unaffected
885012007010,Würth Elektronik,732-7814-1-ND,Capacitor 10 pF,,Cut Tape (CT),Active,2,0.10000,$0.20,6815,25 Weeks,CAP CER 10PF 16V C0G/NP0 0805,ROHS3 Compliant,Lead free,REACH Unaffected
885012007012,Würth Elektronik,732-7816-1-ND,Capacitor 22 pF,,Cut Tape (CT),Active,2,0.10000,$0.20,2677,27 Weeks,CAP CER 22PF 16V C0G/NP0 0805,ROHS3 Compliant,Lead free,REACH Unaffected
LMK212B7475MG-T,Taiyo Yuden,587-4917-1-ND,"Capacitor 4,7 uF",,Cut Tape (CT),Active,4,0.24000,$0.96,49346,27 Weeks,CAP CER 4.7UF 10V X7R 0805,ROHS3 Compliant,Lead free,Not Available
CL21B225KPFNNNE,Samsung Electro-Mechanics,1276-1188-1-ND,"Capacitor 2,2 uF",,Cut Tape (CT),Active,10,0.08400,$0.84,295011,28 Weeks,CAP CER 2.2UF 10V X7R 0805,ROHS3 Compliant,Lead free,REACH Unaffected
CL21A106MQFNNNE,Samsung Electro-Mechanics,1276-1298-1-ND,Capacitor 10 uF,,Cut Tape (CT),Active,2,0.11000,$0.22,17000,28 Weeks,CAP CER 10UF 6.3V X5R 0805,ROHS3 Compliant,Lead free,REACH Unaffected
B120-E3/61T,Vishay General Semiconductor - Diodes Division,B120-E3/61TGICT-ND,Diodos Protección VCC,,Cut Tape (CT),Active,3,0.42000,$1.26,2188,48 Weeks,DIODE SCHOTTKY 20V 1A DO214AC,ROHS3 Compliant,Lead free,REACH Unaffected
282837-6,TE Connectivity AMP Connectors,A113322-ND,Terminal 1x6 TH,,Tray,Active,1,3.25000,$3.25,1650,16 Weeks,TERM BLK 6P SIDE ENT 5.08MM PCB,RoHS Compliant,Lead free,Not Available
282837-2,TE Connectivity AMP Connectors,A113320-ND,Terminal 1x2 TH,,Tray,Active,1,1.06000,$1.06,17380,16 Weeks,TERM BLK 2P SIDE ENT 5.08MM PCB,RoHS Compliant,Lead free,Not Available
150080RS75000,Würth Elektronik,732-4984-1-ND,Led Power,,Cut Tape (CT),Active,3,0.18000,$0.54,51358,10 Weeks,LED RED CLEAR 0805 SMD,ROHS3 Compliant,Lead free,REACH Unaffected
150080YS75000,Würth Elektronik,732-4987-1-ND,Led User Amarillo,,Cut Tape (CT),Active,2,0.18000,$0.36,16327,10 Weeks,LED YELLOW CLEAR 0805 SMD,ROHS3 Compliant,Lead free,REACH Unaffected
150080VS75000,Würth Elektronik,732-4986-1-ND,Led TM,,Cut Tape (CT),Active,2,0.18000,$0.36,46743,10 Weeks,LED GREEN CLEAR 0805 SMD,ROHS3 Compliant,Lead free,REACH Unaffected
150080YS75000,Würth Elektronik,732-4987-1-ND,Led Ethernet/SD,,Cut Tape (CT),Active,2,0.18000,$0.36,16327,10 Weeks,LED YELLOW CLEAR 0805 SMD,ROHS3 Compliant,Lead free,REACH Unaffected
150080VS75000,Würth Elektronik,732-4986-1-ND,Led UART/USART,,Cut Tape (CT),Active,3,0.18000,$0.36,46743,10 Weeks,LED GREEN CLEAR 0805 SMD,ROHS3 Compliant,Lead free,REACH Unaffected
73725-0110BLF,Amphenol ICC (FCI),609-1041-ND,USB Vertical,,Tube,Active,1,1.02000,$1.02,94048,8 Weeks,CONN RCPT USB2.0 TYPEA 4POS R/A,RoHS Compliant,Lead free,REACH Unaffected
CRGCQ0805F10K,TE Connectivity Passive Product,A129761CT-ND,R 10K,,Cut Tape (CT),Active,1,0.10000,$0.10,45105,19 Weeks,CRGCQ 0805 10K 1%,RoHS Compliant,Lead free,Not Available
CRGCQ0805F270R,TE Connectivity Passive Product,A129742CT-ND,R 270,,Cut Tape (CT),Active,1,0.10000,$0.10,28468,19 Weeks,CRGCQ 0805 270R 1%,RoHS Compliant,Lead free,Not Available
CRGCQ0805F120R,TE Connectivity Passive Product,A129738CT-ND,R 120,,Cut Tape (CT),Active,10,0.05100,$0.51,43474,19 Weeks,CRGCQ 0805 120R 1%,RoHS Compliant,Lead free,Not Available
CRGCQ0805F2K2,TE Connectivity Passive Product,A129753CT-ND,R 2K2,,Cut Tape (CT),Active,10,0.04800,$0.48,23121,19 Weeks,CRGCQ 0805 2K2 1%,RoHS Compliant,Lead free,Not Available
CRGCQ0805F220R,TE Connectivity Passive Product,A129741CT-ND,R 220,,Cut Tape (CT),Active,11,0.04800,$0.52,24591,19 Weeks,CRGCQ 0805 220R 1%,RoHS Compliant,Lead free,Not Available
CRGCQ0805F4K7,TE Connectivity Passive Product,A129757CT-ND,R 4K7,,Cut Tape (CT),Active,14,0.05100,$0.71,4501,19 Weeks,CRGCQ 0805 4K7 1%,RoHS Compliant,Lead free,Not Available
MIC2005A-2YM5-TR,Microchip Technology,576-3464-1-ND,u USB,,Cut Tape (CT),Active,1,0.29000,$0.29,1109,7 Weeks,IC PWR SWITCH P-CHAN 1:1 SOT23-5,ROHS3 Compliant,Lead free,REACH Unaffected
NUP2105LT1G,ON Semiconductor,NUP2105LT1GOSCT-ND,Diodos para RS485,,Cut Tape (CT),Active,5,0.47000,$2.35,433411,52 Weeks,TVS DIODE 24V 44V SOT23-3,ROHS3 Compliant,Lead free,REACH Unaffected
NX5032GA-8MHZ-EXS00A-CG07039,"NDK America, Inc.",644-1318-1-ND,Cristal 8 MHz,,Cut Tape (CT),Active,1,0.69000,$0.69,2721,18 Weeks,CRYSTAL 8.0000MHZ 18PF SMD,RoHS Compliant,Lead free,Not Available
RJMG1BD3B8K1ANR,Amphenol ICC (Commercial Products),RJMG1BD3B8K1ANR-ND,Conector RJ45,,Tray,Active,1,4.37000,$4.37,62,20 Weeks,CONN JACK 1PORT 100 BASE-T PCB,RoHS Compliant,Lead free,REACH Unaffected
