"N.º","CANTIDAD","NÚMERO DE PIEZA","NÚMERO DE PIEZA DEL FABRICANTE","DESCRIPCIÓN","REFERENCIA DEL CLIENTE","PEDIDO ATRASADO","PRECIO POR UNIDAD","PRECIO TOTAL"
"1","5","495-5060-ND","B62152A0004X030","FERRITE CORE 2 HOLE 10UH N30","","0","0.92000","4.60"
"2","5","495-76793-ND","B62152P0007X030","FERRITE CORE 2 HOLE 7.3UH N30","","0","0.86000","4.30"
"3","10","495-75207-ND","B62152P0008X030","FERRITE CORE 2 HOLE 3.1UH N30","","0","0.35600","3.56"
"4","2","296-9801-1-ND","SN74AVC16827DGVR","IC BUF NON-INVERT 3.6V 56TVSOP","IC ADDRESS BUFFER","0","4.36000","8.72"
"5","2","296-8619-1-ND","SN74LVCR162245DGGR","IC TXRX NON-INVERT 3.6V 48TSSOP","IC DATA BUFFER","0","1.52000","3.04"
"6","2","2073-MEM2075-00-140-01-ACT-ND","MEM2075-00-140-01-A","MICRO SD PUSH-PUSH, SMT, 1.40MM","PORTAMICROSD","0","1.86000","3.72"
"7","2","428-3241-ND","CY7C1051DV33-10ZSXI","IC SRAM 8MBIT PARALLEL 44TSOP II","SRAM 512KB X 16","0","16.10000","32.20"
"8","2","SER4399CT-ND","SG7050CAN 24.000000M-TJGA3","XTAL OSC XO 24.0000MHZ CMOS SMD","CRISTAL MVB 24 MHZ","0","1.40000","2.80"
"9","62","732-8080-1-ND","885012207098","CAP CER 0.1UF 50V X7R 0805","CAPACITORES .1UF","0","0.07400","4.59"
"10","4","732-7814-1-ND","885012007010","CAP CER 10PF 16V C0G/NP0 0805","CAPACITOR 10 PF","0","0.10000","0.40"
"11","20","1276-1188-1-ND","CL21B225KPFNNNE","CAP CER 2.2UF 10V X7R 0805","CAPACITOR 2,2 UF","0","0.08400","1.68"
"12","4","1276-1298-1-ND","CL21A106MQFNNNE","CAP CER 10UF 6.3V X5R 0805","CAPACITOR 10 UF","0","0.11000","0.44"
"13","6","B120-E3/61TGICT-ND","B120-E3/61T","DIODE SCHOTTKY 20V 1A DO214AC","DIODOS PROTECCIóN VCC","0","0.42000","2.52"
"14","2","A113322-ND","282837-6","TERM BLK 6P SIDE ENT 5.08MM PCB","TERMINAL 1X6 TH","0","3.25000","6.50"
"15","2","A113320-ND","282837-2","TERM BLK 2P SIDE ENT 5.08MM PCB","TERMINAL 1X2 TH","0","1.06000","2.12"
"16","6","732-4984-1-ND","150080RS75000","LED RED CLEAR 0805 SMD","LED POWER","0","0.18000","1.08"
"17","4","732-4987-1-ND","150080YS75000","LED YELLOW CLEAR 0805 SMD","LED USER AMARILLO","0","0.18000","0.72"
"18","4","732-4986-1-ND","150080VS75000","LED GREEN CLEAR 0805 SMD","LED TM","0","0.18000","0.72"
"19","4","732-4987-1-ND","150080YS75000","LED YELLOW CLEAR 0805 SMD","LED ETHERNET/SD","0","0.18000","0.72"
"20","6","732-4986-1-ND","150080VS75000","LED GREEN CLEAR 0805 SMD","LED UART/USART","0","0.18000","1.08"
"21","2","609-1041-ND","73725-0110BLF","CONN RCPT USB2.0 TYPEA 4POS R/A","USB VERTICAL","0","1.02000","2.04"
"22","2","A129761CT-ND","CRGCQ0805F10K","CRGCQ 0805 10K 1%","R 10K","0","0.10000","0.20"
"23","2","A129742CT-ND","CRGCQ0805F270R","CRGCQ 0805 270R 1%","R 270","0","0.10000","0.20"
"24","20","A129738CT-ND","CRGCQ0805F120R","CRGCQ 0805 120R 1%","R 120","0","0.05100","1.02"
"25","20","A129753CT-ND","CRGCQ0805F2K2","CRGCQ 0805 2K2 1%","R 2K2","0","0.04800","0.96"
"26","22","A129741CT-ND","CRGCQ0805F220R","CRGCQ 0805 220R 1%","R 220","0","0.04800","1.06"
"27","28","A129757CT-ND","CRGCQ0805F4K7","CRGCQ 0805 4K7 1%","R 4K7","0","0.05100","1.43"
"28","2","576-3464-1-ND","MIC2005A-2YM5-TR","IC PWR SWITCH P-CHAN 1:1 SOT23-5","U USB","0","0.29000","0.58"
"29","10","NUP2105LT1GOSCT-ND","NUP2105LT1G","TVS DIODE 24V 44V SOT23-3","DIODOS PARA RS485","0","0.35800","3.58"
"30","2","644-1318-1-ND","NX5032GA-8MHZ-EXS00A-CG07039","CRYSTAL 8.0000MHZ 18PF SMD","CRISTAL 8 MHZ","0","0.69000","1.38"
"31","2","RJMG1BD3B8K1ANR-ND","RJMG1BD3B8K1ANR","CONN JACK 1PORT 100 BASE-T PCB","CONECTOR RJ45","0","4.37000","8.74"
"32","2","RMCF0805FT6K49CT-ND","RMCF0805FT6K49","RES 6.49K OHM 1% 1/8W 0805","R 6K49","0","0.10000","0.20"
